tas,"	Year", Month, Country, ISO3, ISO2
25.9651,1966,7,BRB,,
26.2651,1966,8,BRB,,
25.8651,1966,9,BRB,,
26.5325,1966,10,BRB,,
26.8325,1966,11,BRB,,
25.3325,1966,12,BRB,,
24.9,1967,1,BRB,,
24.7999,1967,2,BRB,,
24.9,1967,3,BRB,,
25.3325,1967,4,BRB,,
25.8651,1967,5,BRB,,
26.4313,1967,6,BRB,,
26.0651,1967,7,BRB,,
26.5988,1967,8,BRB,,
26.5325,1967,9,BRB,,
26.4662,1967,10,BRB,,
25.6651,1967,11,BRB,,
24.8325,1967,12,BRB,,
23.9325,1968,1,BRB,,
24.4662,1968,2,BRB,,
24.5325,1968,3,BRB,,
25.4325,1968,4,BRB,,
26.4988,1968,5,BRB,,
26.4651,1968,6,BRB,,
26.5988,1968,7,BRB,,
26.3651,1968,8,BRB,,
26.3988,1968,9,BRB,,
26.3325,1968,10,BRB,,
26.0988,1968,11,BRB,,
25.6662,1968,12,BRB,,
24.5662,1969,1,BRB,,
24.7662,1969,2,BRB,,
26.2662,1969,3,BRB,,
26.7325,1969,4,BRB,,
27.3651,1969,5,BRB,,
27.1651,1969,6,BRB,,
26.8988,1969,7,BRB,,
26.7988,1969,8,BRB,,
26.4988,1969,9,BRB,,
26.5325,1969,10,BRB,,
26.6988,1969,11,BRB,,
25.7325,1969,12,BRB,,
25.3662,1970,1,BRB,,
24.6662,1970,2,BRB,,
25.3662,1970,3,BRB,,
26.4325,1970,4,BRB,,
27.2988,1970,5,BRB,,
26.8651,1970,6,BRB,,
26.0988,1970,7,BRB,,
26.6988,1970,8,BRB,,
26.6988,1970,9,BRB,,
26.5662,1970,10,BRB,,
25.4651,1970,11,BRB,,
26.2,1970,12,BRB,,
25.4,1971,1,BRB,,
25.0337,1971,2,BRB,,
25.2999,1971,3,BRB,,
25.7662,1971,4,BRB,,
26.1988,1971,5,BRB,,
26.5651,1971,6,BRB,,
26.4988,1971,7,BRB,,
26.2988,1971,8,BRB,,
26.5325,1971,9,BRB,,
26.2662,1971,10,BRB,,
25.8988,1971,11,BRB,,
25.2662,1971,12,BRB,,
24.7999,1972,1,BRB,,
24.7,1972,2,BRB,,
25.4,1972,3,BRB,,
25.6662,1972,4,BRB,,
26.3988,1972,5,BRB,,
26.8651,1972,6,BRB,,
26.6988,1972,7,BRB,,
26.7988,1972,8,BRB,,
27.0325,1972,9,BRB,,
27.4,1972,10,BRB,,
26.0988,1972,11,BRB,,
25.1325,1972,12,BRB,,
25.5,1973,1,BRB,,
25.2999,1973,2,BRB,,
25.4662,1973,3,BRB,,
26.0662,1973,4,BRB,,
26.7988,1973,5,BRB,,
